record_id,enumerator_id,region,age,gender,education,occupation,employment_status,hours_worked,monthly_income,household_size,survey_date,is_planted_anomaly
REC000001,ENU0120,Karnataka,41,Male,Secondary,Driver,Employed,48,13159,6,2025-06-04,False
REC000002,ENU0152,Andhra Pradesh,53,Female,Illiterate,Domestic Help,Employed,39,5988,5,2025-12-06,False
REC000003,ENU0059,Madhya Pradesh,16,Male,Graduate,None,Unemployed,0,0,3,2025-03-13,False
REC000004,ENU0124,Madhya Pradesh,49,Male,Graduate,Clerk,Employed,55,24326,8,2025-12-21,False
REC000005,ENU0161,Assam,38,Male,Higher Secondary,Driver,Employed,30,5392,2,2025-08-14,False
REC000006,ENU0127,Tamil Nadu,67,Male,Secondary,None,Not in Labour Force,0,0,8,2025-10-10,False
REC000007,ENU0087,Tamil Nadu,44,Female,Primary,None,Unemployed,0,0,5,2025-09-25,False
REC000008,ENU0009,Karnataka,34,Female,Illiterate,Agricultural Labourer,Employed,38,7058,7,2025-01-28,False
REC000009,ENU0233,West Bengal,33,Female,Higher Secondary,Clerk,Employed,59,24036,3,2025-10-19,False
REC000010,ENU0049,Madhya Pradesh,49,Female,Graduate,IT Professional,Employed,34,34977,5,2025-11-07,False
REC000011,ENU0139,Telangana,62,Male,Higher Secondary,None,Not in Labour Force,0,0,9,2025-01-17,False
REC000012,ENU0013,Tamil Nadu,72,Female,Higher Secondary,None,Not in Labour Force,0,0,4,2025-11-02,False
REC000013,ENU0033,Assam,9,Female,Primary,None,Not in Labour Force,3,0,5,2025-11-15,False
REC000014,ENU0022,Telangana,18,Female,Graduate,Sales Executive,Employed,54,20834,6,2025-05-01,False
REC000015,ENU0247,West Bengal,62,Male,Illiterate,Domestic Help,Employed,45,7449,5,2025-10-03,False
REC000016,ENU0101,Bihar,28,Female,Post Graduate,Government Officer,Unemployed,0,0,2,2025-09-03,False
REC000017,ENU0090,Madhya Pradesh,39,Male,Primary,Construction Worker,Employed,33,5858,3,2025-06-17,False
